Score,KILLS,DEATH,PING,TEAM,DAMAGE,MultiKillLevel0,MultiKillLevel1,MultiKillLevel2,MultiKillLevel3,MultiKillLevel4,SpreeKillLevel0,SpreeKillLevel1,SpreeKillLevel2,SpreeKillLevel3,SpreeKillLevel4,MATCHID,PLAYERID,PlayerName,Winner
5.0,5,10,52.0,Blue,1998,0,0,0,0,0,0,0,0,0,0,22,c8ab4752327d417dbc2f051fb7762328,HoBoxX7Xx,Red
13.0,13,4,28.0,Red,3094,0,0,0,0,0,2,0,0,0,0,22,de60fb6009a24775846326574e49ce3c,phantasi,Red
12.0,12,8,56.0,Red,2862,1,0,0,0,0,0,0,0,0,0,22,569d97c0c3cf4ed3a2d0926bebbd2f3c,Nudisto,Red
6.0,6,8,28.0,Red,2126,0,0,0,0,0,0,0,0,0,0,22,275235c4aab949f9b094941da93fa61b,krypt,Red
5.0,5,11,20.0,Blue,1878,0,0,0,0,0,0,0,0,0,0,22,fa58a598a894468283c7423dc8cabde5,blackmane-,Red
10.0,10,10,20.0,Blue,3307,1,1,0,0,0,0,0,0,0,0,22,48eb6c6460e7456b8a0d655f010b34de,Trinatek,Red
9.0,9,8,56.0,Red,2607,0,0,0,0,0,0,0,0,0,0,23,569d97c0c3cf4ed3a2d0926bebbd2f3c,Nudisto,Red
16.0,16,11,24.0,Blue,3307,1,0,0,0,0,0,0,0,0,0,24,275235c4aab949f9b094941da93fa61b,krypt,Blue
7.0,7,13,20.0,Blue,4176,0,0,0,0,0,0,0,0,0,0,24,48eb6c6460e7456b8a0d655f010b34de,Trinatek,Blue
15.0,15,11,56.0,Blue,3437,1,0,0,0,0,1,0,0,0,0,24,569d97c0c3cf4ed3a2d0926bebbd2f3c,Nudisto,Blue
7.0,7,12,48.0,Red,2600,0,0,0,0,0,0,0,0,0,0,24,c8ab4752327d417dbc2f051fb7762328,HoBoxX7Xx,Blue
12.0,12,14,20.0,Red,3167,0,0,0,0,0,0,0,0,0,0,24,fa58a598a894468283c7423dc8cabde5,blackmane-,Blue
16.0,16,12,28.0,Red,4503,1,0,0,0,0,1,0,0,0,0,24,de60fb6009a24775846326574e49ce3c,phantasi,Blue
8.0,8,7,28.0,Blue,2182,0,0,0,0,0,0,0,0,0,0,25,275235c4aab949f9b094941da93fa61b,krypt,Blue
7.0,7,10,28.0,Red,2509,0,0,0,0,0,0,0,0,0,0,25,de60fb6009a24775846326574e49ce3c,phantasi,Blue
15.0,15,11,56.0,Blue,3310,0,0,0,0,0,1,0,0,0,0,26,569d97c0c3cf4ed3a2d0926bebbd2f3c,Nudisto,Blue
12.0,12,12,28.0,Blue,3173,0,0,0,0,0,0,0,0,0,0,26,de60fb6009a24775846326574e49ce3c,phantasi,Blue
5.0,5,11,20.0,Red,2825,0,0,0,0,0,0,0,0,0,0,26,fa58a598a894468283c7423dc8cabde5,blackmane-,Blue
14.0,14,12,20.0,Red,4086,1,0,0,0,0,0,0,0,0,0,26,48eb6c6460e7456b8a0d655f010b34de,Trinatek,Blue
7.0,7,9,28.0,Blue,2593,0,0,0,0,0,0,0,0,0,0,26,275235c4aab949f9b094941da93fa61b,krypt,Blue
13.0,13,11,56.0,Red,2993,0,0,0,0,0,1,0,0,0,0,26,31340cf614d24cb4bc8bf53285278880,brawndo,Blue
13.0,14,11,20.0,Red,2917,0,0,0,0,0,0,0,0,0,0,27,fa58a598a894468283c7423dc8cabde5,blackmane-,Red
18.0,19,10,28.0,Blue,3943,2,0,0,0,0,1,0,0,0,0,27,de60fb6009a24775846326574e49ce3c,phantasi,Red
9.0,9,9,20.0,Red,4106,0,0,0,0,0,0,0,0,0,0,27,48eb6c6460e7456b8a0d655f010b34de,Trinatek,Red
4.0,4,11,56.0,Blue,2358,0,0,0,0,0,0,0,0,0,0,27,569d97c0c3cf4ed3a2d0926bebbd2f3c,Nudisto,Red
11.0,11,8,52.0,Red,3320,0,0,0,0,0,0,0,0,0,0,27,31340cf614d24cb4bc8bf53285278880,brawndo,Red
0.0,0,0,28.0,,0,0,0,0,0,0,0,0,0,0,0,27,e635f2718d474519be8ce90e21a523dd,Hogwired01,Red
12.0,13,12,20.0,Red,3917,1,0,0,0,0,0,0,0,0,0,28,48eb6c6460e7456b8a0d655f010b34de,Trinatek,Blue
247.699982,47,46,32.0,Blue,6015,5,0,0,0,0,2,0,0,0,0,29,247f5a3e45e5418bb2079066d445f112,Kngkyle,Red
309.299957,46,34,56.0,Red,7047,3,0,0,0,0,1,0,0,0,0,29,cc1b709905ec4359b04bc2f4060eacdb,bdy,Red
165.80014,31,53,108.0,Blue,4812,4,0,0,0,0,0,0,0,0,0,29,b8d23b3de9264ced86b4ec96f927ea6f,acme_,Red
251.900299,43,39,28.0,Red,5749,5,1,0,0,0,1,0,0,0,0,29,275235c4aab949f9b094941da93fa61b,krypt,Red
47.999981,21,31,36.0,Blue,4152,1,0,0,0,0,0,0,0,0,0,29,66968d22ef7e4eb183c52ce1ebb178aa,constablle,Red
396.0,56,35,36.0,Red,7412,11,1,0,0,0,3,0,0,0,0,29,c582bc70ed4d42c0a69cdc4b705ffa1b,eP_,Red
330.300079,72,30,40.0,Blue,8285,7,2,0,0,0,2,1,1,1,1,29,f1a92287ff034123a2e848f39206c881,ttv.fallacy_,Red
95.599976,24,45,60.0,Red,1968,1,0,0,0,0,0,0,0,0,0,29,3798c79d0f654877a7f8dea582fabed5,emc.clark.kent,Red
47.099892,9,56,52.0,Blue,2909,1,0,0,0,0,0,0,0,0,0,29,88c0ec5f3b20466ca50590af4fe88460,Dr.VanNostrand,Red
210.099884,44,35,52.0,Red,6335,4,1,0,0,0,0,0,0,0,0,29,4ddcf09ab5774cbe9ed1f9d5b7e7751e,PaWwEeZy,Red
0.0,0,0,36.0,,0,0,0,0,0,0,0,0,0,0,0,29,b870f13b24b14015990e3c705dc2a171,Chuba60,Red
308.800293,52,39,36.0,Blue,8477,5,1,0,0,0,1,0,0,0,0,30,f1a92287ff034123a2e848f39206c881,ttv.fallacy_,Red
237.400269,43,35,32.0,Red,5330,3,0,0,0,0,1,0,0,0,0,30,275235c4aab949f9b094941da93fa61b,krypt,Red
186.100006,25,57,60.0,Red,3518,1,0,0,0,0,0,0,0,0,0,30,3798c79d0f654877a7f8dea582fabed5,emc.clark.kent,Red
101.199997,34,38,36.0,Blue,4904,4,0,0,0,0,1,0,0,0,0,30,66968d22ef7e4eb183c52ce1ebb178aa,constablle,Red
95.899895,23,56,52.0,Blue,2793,1,0,0,0,0,0,0,0,0,0,30,88c0ec5f3b20466ca50590af4fe88460,Dr.VanNostrand,Red
241.400055,58,32,48.0,Red,8040,4,3,0,0,0,3,0,0,0,0,30,4ddcf09ab5774cbe9ed1f9d5b7e7751e,PaWwEeZy,Red
143.999969,39,43,108.0,Blue,5340,0,0,0,0,0,1,0,0,0,0,30,b8d23b3de9264ced86b4ec96f927ea6f,acme_,Red
136.099884,38,39,56.0,Red,5146,3,2,0,0,0,1,0,0,0,0,30,cc1b709905ec4359b04bc2f4060eacdb,bdy,Red
242.600281,45,40,32.0,Blue,6155,5,0,0,0,0,0,0,0,0,0,30,247f5a3e45e5418bb2079066d445f112,Kngkyle,Red
398.500031,48,38,36.0,Red,7171,5,0,0,0,0,1,0,0,0,0,30,c582bc70ed4d42c0a69cdc4b705ffa1b,eP_,Red
0.0,0,0,36.0,,0,0,0,0,0,0,0,0,0,0,0,30,de60fb6009a24775846326574e49ce3c,phantasi,Red
122.299942,37,31,32.0,Blue,6498,4,1,0,0,0,1,0,0,0,0,31,de60fb6009a24775846326574e49ce3c,phantasi,Red
66.39994,17,48,112.0,Blue,3157,1,0,0,0,0,0,0,0,0,0,31,b8d23b3de9264ced86b4ec96f927ea6f,acme_,Red
198.000107,28,44,44.0,Blue,4554,1,0,0,0,0,0,0,0,0,0,31,f1a92287ff034123a2e848f39206c881,ttv.fallacy_,Red
267.500305,58,20,40.0,Red,7951,9,1,0,0,0,5,1,0,0,0,31,b6ad99d3cacd4df09141083bb699fd33,therealfusion,Red
134.199951,27,32,40.0,Blue,3701,2,0,0,0,0,0,0,0,0,0,31,c582bc70ed4d42c0a69cdc4b705ffa1b,eP_,Red
205.400162,22,34,32.0,Red,3448,1,0,0,0,0,1,0,0,0,0,31,275235c4aab949f9b094941da93fa61b,krypt,Red
229.0,22,39,36.0,Red,3991,0,0,0,0,0,0,0,0,0,0,31,b066fe72291f40fa81175d31632541f6,pb.,Red
128.799957,33,31,48.0,Red,4717,2,0,0,0,0,1,0,0,0,0,31,4ddcf09ab5774cbe9ed1f9d5b7e7751e,PaWwEeZy,Red
347.0,45,21,28.0,Red,6102,7,1,0,0,0,4,0,0,0,0,31,247f5a3e45e5418bb2079066d445f112,Kngkyle,Red
0.0,0,0,60.0,,0,0,0,0,0,0,0,0,0,0,0,31,3798c79d0f654877a7f8dea582fabed5,emc.clark.kent,Red
19.800003,4,9,40.0,Blue,703,1,0,0,0,0,0,0,0,0,0,31,9d10daebc1074f90bf16c90de19552b0,Darth,Red
100.600006,21,14,48.0,Red,3177,0,0,0,0,0,1,0,0,0,0,32,4ddcf09ab5774cbe9ed1f9d5b7e7751e,PaWwEeZy,Red
134.0,16,28,40.0,Blue,3571,0,0,0,0,0,0,0,0,0,0,32,f1a92287ff034123a2e848f39206c881,ttv.fallacy_,Red
193.999802,23,18,32.0,Red,3160,1,0,0,0,0,1,0,0,0,0,32,275235c4aab949f9b094941da93fa61b,krypt,Red
176.0,24,22,28.0,Red,3758,1,0,0,0,0,1,0,0,0,0,32,247f5a3e45e5418bb2079066d445f112,Kngkyle,Red
101.499794,28,18,36.0,Blue,4009,2,0,0,0,0,2,0,0,0,0,32,de60fb6009a24775846326574e49ce3c,phantasi,Red
279.0,24,30,36.0,Red,3345,3,0,0,0,0,0,0,0,0,0,32,b066fe72291f40fa81175d31632541f6,pb.,Red
0.0,0,0,64.0,,0,0,0,0,0,0,0,0,0,0,0,32,3798c79d0f654877a7f8dea582fabed5,emc.clark.kent,Red
56.600002,18,24,40.0,Blue,2903,1,0,0,0,0,1,0,0,0,0,32,9d10daebc1074f90bf16c90de19552b0,Darth,Red
51.999939,18,22,36.0,Blue,1851,1,0,0,0,0,0,0,0,0,0,32,c582bc70ed4d42c0a69cdc4b705ffa1b,eP_,Red
193.099976,24,14,40.0,Red,3749,1,0,0,0,0,2,1,0,0,0,32,b6ad99d3cacd4df09141083bb699fd33,therealfusion,Red
46.59996,15,26,108.0,Blue,2266,0,0,0,0,0,0,0,0,0,0,32,b8d23b3de9264ced86b4ec96f927ea6f,acme_,Red
15.0,15,7,24.0,Blue,3815,1,0,0,0,0,1,0,0,0,0,33,247f5a3e45e5418bb2079066d445f112,Kngkyle,Blue
-1.0,0,13,56.0,Red,1617,0,0,0,0,0,0,0,0,0,0,33,66968d22ef7e4eb183c52ce1ebb178aa,constablle,Blue
11.0,11,11,52.0,Red,3098,1,0,0,0,0,0,0,0,0,0,33,cc1b709905ec4359b04bc2f4060eacdb,bdy,Blue
6.0,6,7,32.0,Blue,1947,0,0,0,0,0,0,0,0,0,0,33,27ac9520952448188c49d93671fbb7a5,riffage,Blue
7.0,7,10,44.0,Red,1672,1,0,0,0,0,0,0,0,0,0,33,82cf781fe624480594f0c535c1e512b9,Maddeh,Blue
11.0,12,5,56.0,Blue,3052,0,0,0,0,0,0,0,0,0,0,33,c8ab4752327d417dbc2f051fb7762328,HoBoxX7Xx,Blue
11.0,11,13,28.0,Blue,3318,0,0,0,0,0,0,0,0,0,0,34,247f5a3e45e5418bb2079066d445f112,Kngkyle,Red
15.0,16,11,28.0,Blue,2998,1,0,0,0,0,0,0,0,0,0,34,27ac9520952448188c49d93671fbb7a5,riffage,Red
15.0,15,12,52.0,Red,4181,2,0,0,0,0,1,0,0,0,0,34,cc1b709905ec4359b04bc2f4060eacdb,bdy,Red
8.0,9,12,52.0,Blue,3865,0,0,0,0,0,0,0,0,0,0,34,c8ab4752327d417dbc2f051fb7762328,HoBoxX7Xx,Red
12.0,12,13,56.0,Red,3044,0,0,0,0,0,0,0,0,0,0,34,66968d22ef7e4eb183c52ce1ebb178aa,constablle,Red
6.0,7,12,44.0,Red,3252,0,0,0,0,0,0,0,0,0,0,34,82cf781fe624480594f0c535c1e512b9,Maddeh,Red
322.0,42,21,28.0,Blue,6037,4,0,0,0,0,3,0,0,0,0,35,247f5a3e45e5418bb2079066d445f112,Kngkyle,Blue
162.299988,20,32,32.0,Blue,2046,3,1,0,0,0,1,0,0,0,0,35,270a7c56bff14deb91a46ee8300513cc,Kronos[X],Blue
